Game_pk,date,Park
718779,3/30/2023,Globe Life Field
718768,3/30/2023,Minute Maid Park
718769,3/30/2023,Oakland Coliseum
718773,3/30/2023,Great American Ball Park
718772,3/30/2023,Busch Stadium
718767,3/30/2023,T-Mobile Park
718776,3/30/2023,Tropicana Field
718781,3/30/2023,Yankee Stadium
718777,3/30/2023,Wrigley Field
718774,3/30/2023,loanDepot park
718775,3/30/2023,Kauffman Stadium
718782,3/30/2023,Fenway Park
718780,3/30/2023,Nationals Park
718770,3/30/2023,Dodger Stadium
718778,3/30/2023,Petco Park
718765,3/31/2023,Dodger Stadium
718766,3/31/2023,Petco Park
718763,3/31/2023,T-Mobile Park
718764,3/31/2023,Minute Maid Park
718771,3/31/2023,loanDepot park
718755,4/1/2023,loanDepot park
718749,4/1/2023,Dodger Stadium
718752,4/1/2023,Globe Life Field
718761,4/1/2023,Fenway Park
718756,4/1/2023,Great American Ball Park
718757,4/1/2023,Oakland Coliseum
718762,4/1/2023,Yankee Stadium
718753,4/1/2023,Nationals Park
718758,4/1/2023,Wrigley Field
718759,4/1/2023,Busch Stadium
718751,4/1/2023,Kauffman Stadium
718754,4/1/2023,Tropicana Field
718746,4/1/2023,T-Mobile Park
718760,4/1/2023,Minute Maid Park
718750,4/1/2023,Petco Park
718739,4/2/2023,Globe Life Field
718738,4/2/2023,Wrigley Field
718741,4/2/2023,loanDepot park
718733,4/2/2023,Petco Park
718745,4/2/2023,Kauffman Stadium
718735,4/2/2023,T-Mobile Park
718737,4/2/2023,Busch Stadium
718742,4/2/2023,Tropicana Field
718748,4/2/2023,Fenway Park
718747,4/2/2023,Yankee Stadium
718734,4/2/2023,Oakland Coliseum
718736,4/2/2023,Dodger Stadium
718740,4/2/2023,Minute Maid Park
718744,4/2/2023,Great American Ball Park
718743,4/2/2023,Nationals Park
718732,4/3/2023,Nationals Park
718730,4/3/2023,Guaranteed Rate Field
718720,4/3/2023,T-Mobile Park
718724,4/3/2023,Fenway Park
718731,4/3/2023,American Family Field
718722,4/3/2023,Petco Park
718721,4/3/2023,Oakland Coliseum
718723,4/3/2023,Minute Maid Park
718727,4/3/2023,Busch Stadium
718718,4/3/2023,Dodger Stadium
718719,4/3/2023,Kauffman Stadium
718726,4/3/2023,Globe Life Field
718728,4/3/2023,Great American Ball Park
718729,4/3/2023,loanDepot park
718725,4/3/2023,Yankee Stadium
718705,4/4/2023,Minute Maid Park
718715,4/4/2023,Nationals Park
718709,4/4/2023,Globe Life Field
718710,4/4/2023,Yankee Stadium
718706,4/4/2023,T-Mobile Park
718703,4/4/2023,Dodger Stadium
